<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
9/11/2018,111390,111400,111380,111400
9/11/2018,111370,111410,111370,111410
9/11/2018,111400,111420,111400,111410
9/11/2018,111410,111420,111400,111410
9/11/2018,111400,111410,111380,111390
9/11/2018,111370,111400,111370,111400
9/11/2018,111390,111420,111390,111420
9/11/2018,111410,111410,111360,111360
9/11/2018,111360,111380,111320,111360
9/11/2018,111360,111360,111310,111320
9/11/2018,111310,111340,111310,111330
9/11/2018,111320,111330,111280,111310
9/11/2018,111330,111370,111320,111350
9/11/2018,111360,111390,111350,111390
9/11/2018,111390,111390,111350,111370
9/11/2018,111370,111380,111360,111370
9/11/2018,111360,111370,111340,111350
9/11/2018,111360,111360,111320,111360
9/11/2018,111360,111400,111360,111390
9/11/2018,111400,111420,111390,111390
9/11/2018,111380,111380,111360,111380
9/11/2018,111390,111390,111350,111360
9/11/2018,111360,111400,111360,111390
9/11/2018,111380,111380,111350,111350
9/11/2018,111350,111350,111310,111310
9/11/2018,111300,111330,111290,111330
9/11/2018,111320,111330,111320,111320
9/11/2018,111330,111360,111300,111310
9/11/2018,111300,111340,111300,111310
9/11/2018,111310,111340,111300,111320
9/11/2018,111340,111360,111330,111350
9/11/2018,111330,111350,111330,111330
9/11/2018,111330,111360,111330,111360
9/11/2018,111350,111370,111350,111370
9/11/2018,111360,111380,111360,111370
9/11/2018,111370,111370,111350,111360
9/11/2018,111350,111360,111330,111330
9/11/2018,111340,111380,111340,111360
9/11/2018,111380,111430,111370,111430
9/11/2018,111430,111470,111430,111440
9/11/2018,111440,111450,111420,111450
9/11/2018,111450,111460,111430,111440
9/11/2018,111440,111460,111430,111450
9/11/2018,111430,111440,111370,111370
9/11/2018,111370,111390,111370,111370
9/11/2018,111360,111380,111350,111360
9/11/2018,111370,111370,111300,111310
9/11/2018,111320,111320,111210,111230
9/11/2018,111240,111240,111160,111180
9/11/2018,111190,111190,111130,111160
9/11/2018,111150,111190,111140,111170
9/11/2018,111160,111220,111160,111220
9/11/2018,111220,111250,111210,111240
9/11/2018,111230,111280,111220,111250
9/11/2018,111240,111260,111200,111260
9/11/2018,111260,111270,111220,111260
9/11/2018,111250,111260,111110,111130
9/11/2018,111130,111160,111110,111150
9/11/2018,111140,111160,111130,111150
9/11/2018,111150,111180,111110,111140
9/11/2018,111140,111170,111130,111150
9/11/2018,111150,111180,111140,111170
9/11/2018,111170,111170,111150,111170
